Director Score ,Director Experiecne,Actor 1 Experience ,Actor 1 Score ,Actor 2 Experience ,Actor 2 Score,Actor 3 Experience ,Actor 3 score,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,budget,Class
31439603.29,7,29,61087552.07,2,38770096.5,1,25121291,101,13000,1000,585,15708,50000000,6
62476106.4,5,1,52418902,2,38770096.5,1,52418902,845,15000,1000,424,16881,30000000,4
3950294,1,26,58934241.92,1,7282851,1,7282851,152,674,174,135,1395,3000000,8
9176553,1,24,48610758.46,1,2426851,2,86555678,131,497,113,90,776,4000000,8
39440655,1,3,29887148.33,1,2882062,2,33947031,56,376,346,184,1144,150000,8
26421314,1,1,31655091,1,31655091,2,47675425.5,59,49000,702,403,50927,30000000,5
47977634.31,13,6,34827337.83,3,54059129.33,6,47965507,154,884,617,502,2288,20000000,2
64164066.5,4,1,80050171,3,54059129.33,6,47965507,154,884,617,501,2287,20000000,2
29655590,1,5,15828230.8,3,54059129.33,2,20154835,129,976,617,362,2748,6000000,8
60561607.67,3,19,71789672,1,59617068,1,59617068,119,600,346,174,1375,65000000,4
22001923.8,5,36,91783206.47,4,42465051.25,3,52725516,294,10000,2000,1000,14161,100000000,4
25363778,2,4,15541485.5,4,42465051.25,3,52725516,294,10000,2000,1000,14160,100000000,4
23951221,2,4,10346066.25,4,42465051.25,6,54804934.5,159,13000,2000,877,16899,55000000,7
145746160,2,1,36381716,4,42465051.25,4,37541715,0,4000,2000,826,7067,82000000,5
3446448.4,5,2,150141.5,1,199228,1,199228,12,464,374,106,1045,150000000,9
91171529.67,6,3,31313835,3,31683786.33,2,26586511,189,2000,1000,949,4662,19800000,5
37991927.8,5,13,57600840.38,3,31683786.33,1,6002756,150,18000,1000,956,21200,20000000,8
62095597.44,9,13,57600840.38,3,31683786.33,1,54758461,368,27000,1000,520,29808,65000000,4
43984230,1,5,114922384,1,105263257,4,40358813.75,39,3000,562,458,4518,55000000,1
37825000,4,3,58754511.33,1,66365290,2,33189143,0,21000,860,490,22458,55000000,3
63677895,2,9,73404714.56,2,7248567,1,8500000,15,691,374,281,1761,20000000,8
34837036,5,6,41074794.67,2,7248567,1,5997134,20,422,374,365,1899,1000000,8
104837830.8,13,24,112693921.4,2,209727200.5,2,155339314,776,10000,2000,933,16785,75000000,1
121697350,1,3,86020113.67,2,209727200.5,5,57028158.2,776,13000,2000,1000,19454,110000000,1
171762591.3,4,3,88691929.33,1,272154984.3,1,255108370,0,5000,972,773,9152,250000000,1
18681693.25,4,8,37938128.5,1,795126,1,795126,12,393,259,149,955,6000000,9
68231832.5,2,4,39313848.5,1,29781453,1,29781453,545,919,811,807,4796,48000000,6
86390452.4,10,3,14839243.33,5,30459695.2,1,22362500,2000,11000,1000,1000,15275,55000000,6
9959215.5,2,8,50468944.63,5,30459695.2,3,30218362.67,0,14000,1000,787,18643,6900000,8
35583306.4,5,2,58476019,5,30459695.2,6,71058478.83,80,11000,1000,651,14087,50000000,1
16892,1,3,19490.66667,5,30459695.2,2,13959769.5,4,2000,1000,624,6227,1000000,9
11204499,1,18,47298173.67,5,30459695.2,4,47703520,10,10000,1000,912,13433,8000000,7
34837036,5,1,42672630,1,42672630,4,43607549.25,13,925,738,566,3423,17000000,4
50293056.33,3,22,56921748.91,1,15131330,1,15131330,0,563,80,14,683,86000000,7
35177212.5,4,1,444044,1,444044,5,22678916,47,628,606,585,4249,1900000,9
132310602,7,19,137619039.4,9,122504966.1,1,169692572,266,12000,11000,859,26839,80000000,1
45041021.5,4,26,70791394.65,9,122504966.1,1,46280507,153,35000,11000,734,49743,40000000,4
72874695.86,7,1,163479795,9,122504966.1,4,44416219.25,221,12000,11000,781,26760,34200000,1
144789222.1,7,1,148313048,9,122504966.1,2,140990786.5,266,12000,11000,11000,37142,85000000,1
84709916,2,4,63612969,9,122504966.1,2,140990786.5,221,12000,11000,11000,39269,80000000,1
124039956,3,9,48080572.89,9,122504966.1,3,55438718.67,0,22000,11000,1000,35367,88000000,3
64823621,2,6,138646275.7,9,122504966.1,1,126203320,65,12000,11000,828,26826,50000000,1
123286001.2,5,4,60884949.5,9,122504966.1,2,93813148,221,12000,11000,4000,28497,80000000,1
145933294.5,4,5,22518319.2,9,122504966.1,4,42650808.75,221,14000,11000,553,27405,79000000,3
72025478,3,3,41845301.33,5,53969728.4,1,100468793,285,8000,3000,105,11264,65000000,1
653126,2,1,418268,5,53969728.4,1,418268,21,4000,3000,416,8353,3000000,9
34652353,2,1,41543207,5,53969728.4,3,72845605,73,11000,3000,505,15571,42000000,4
70712991.89,9,29,61087552.07,5,53969728.4,3,42444080.33,17000,29000,3000,827,34582,110000000,1
7486906,1,9,48500422.89,5,53969728.4,7,182771558.9,37,11000,3000,1000,15710,5000000,6
454255,1,1,1060591,1,1060591,1,1060591,0,227,4,0,231,1300000,8
51530296.75,8,42,42849117.6,1,64423650,3,29490676.33,65,942,810,535,3708,3000000,3
19136615.5,2,1,28399192,1,28399192,2,16294861,0,477,238,234,1483,13000000,6
71534831.75,4,5,43796556.2,1,20819129,2,70797980.5,41,567,402,328,2954,26000000,6
46039488,2,3,28817352.33,1,38966057,5,34509506.8,0,509,317,210,1409,65000000,5
22200000,1,36,91783206.47,4,30082864.25,2,11719164.5,54,1000,806,543,3010,300000,8
77950090.75,4,22,56921748.91,4,30082864.25,1,53846915,43,10000,806,523,11943,50100000,4
54837368.25,4,15,30483265,4,30082864.25,3,43877676,0,3000,806,423,5095,90000000,4
4628904,4,3,77007340.33,4,30082864.25,1,5895238,4,8000,806,546,10123,6000000,8
13605814.67,3,14,57567463.43,1,12801190,1,12801190,36,1000,786,377,2764,15000000,7
31417.33333,3,5,22518319.2,1,100412,1,100412,45,623,85,69,824,4000000,9
12425044.5,2,9,33403070.44,1,26288320,1,26288320,0,11000,102,82,11301,60000000,6
13922211,1,8,50468944.63,1,19719930,1,19719930,0,723,44,19,793,45000000,7
174682,1,1,349618,2,12797159,1,349618,930,982,602,433,2942,9000000,9
24647196.5,2,6,28573802.33,2,12797159,1,25244700,0,742,602,381,2270,6000000,6
14343976,1,3,22447677.67,1,19100000,1,19100000,49,309,121,59,707,1250000,7
228524,1,1,464126,1,464126,3,2020422.333,22,638,400,275,1641,1000000,9
